period,brand,query,rank,video_id,url,title,channel,upload_date,views,duration_sec,brand_relevance,actor_type,content_format,promotion_type,asin_signal,description_signal,next_action
2026-W26,yAyusi,yAyusi auto face tracking tripod,1,myPYfwE98ts,https://www.youtube.com/watch?v=myPYfwE98ts,"yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light, No App, 70.9"" Motion Sensor",Hoov45 😎,,16080,374.0,high,amazon_affiliate,product_demo,amazon_link,,"https://urlgeni.us/amzn/hkhl_FaceTrackingTripod yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light, No App, ...",count_as_evidence
2026-W26,yAyusi,yAyusi auto face tracking tripod,2,ImPS0ZSm14s,https://www.youtube.com/watch?v=ImPS0ZSm14s,yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light,Jenn,,4295,103.0,high,amazon_affiliate,product_demo,amazon_link,,"Shop it here https://amzn.to/4doLtGH * as an Amazon affiliate, I earn commission on qualifying purchases. Thank you for your ...",count_as_evidence
2026-W26,yAyusi,yAyusi auto face tracking tripod,3,9da-MXTcVLM,https://www.youtube.com/watch?v=9da-MXTcVLM,yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light,Jenn,,1393,72.0,high,amazon_affiliate,product_demo,amazon_link,,"Shop it here https://amzn.to/4doLtGH *As an Amazon affiliate, I earn commission on qualifying purchases. Thank you for your ...",count_as_evidence
2026-W26,yAyusi,yAyusi auto face tracking tripod,4,XLbF-WnD_wA,https://www.youtube.com/watch?v=XLbF-WnD_wA,NEMOVA 68'' Auto Face Tracking Tripod,Skinner's 100% Honest Reviews,,29762,317.0,adjacent,amazon_affiliate,product_demo,amazon_link,,CHECK OUT TODAY'S PRICE ON AMAZON: ▻▻▻ https://amzn.to/45vtqfE DISCLAIMER: Some of these links are affiliate links ...,manual_verify_before_counting
2026-W26,yAyusi,yAyusi auto face tracking tripod,5,FtU3aKrB-kE,https://www.youtube.com/watch?v=FtU3aKrB-kE,Struggling w/ Static Shots? Discover the yAyusi 360° Auto Face Tracking Tripod – Ultimate Companion!,Best Buys Reviewed,,546,212.0,high,amazon_affiliate,product_demo,amazon_link,,"Link: https://amzn.to/49T87H5 Have you ever tried recording a video, only to realize halfway through that the angle is all wrong or ...",count_as_evidence
2026-W26,yAyusi,B0F8NCBKPS yAyusi,1,AqDK8xHJev0,https://www.youtube.com/watch?v=AqDK8xHJev0,Unboxing NEW TRIPOD * AI Tracking? ,Ms. Katherine Velasquez- Garcia,,8,100.0,low,organic_or_unknown,unboxing,unknown,B0F8NCBKPS,Finally ordered a tripod as a gift to myself this holiday season Years struggling of placing books and box's on each other just to ...,manual_verify_before_counting
2026-W26,Yeaki,Yeaki vlogging kit tripod,1,CUjZA_Dz27I,https://www.youtube.com/watch?v=CUjZA_Dz27I,REVIEW (2026): Yeaki Vlogging Kit for iPhone/Android. Features,Product Overview World,,313,81.0,high,organic_or_unknown,review_demo,unknown,,Thinking about the Yeaki Vlogging Kit for iPhone/Android? This video covers its most important features. View on Amazon: ...,count_as_evidence
2026-W26,Yeaki,Yeaki vlogging kit tripod,2,RVkjVbX5cMg,https://www.youtube.com/watch?v=RVkjVbX5cMg,Yeaki Vlogging Kit: The Ultimate iPhone/Android Content Creator Powerhouse!,Top 5 Wiki,,305,200.0,high,organic_or_unknown,product_demo,unknown,,Yeaki Vlogging Kit: The Ultimate iPhone/Android Content Creator Powerhouse! ▻ Latest Price & AMZN link here ...,count_as_evidence
2026-W26,Yeaki,Yeaki vlogging kit tripod,3,dz6pzMJatME,https://www.youtube.com/watch?v=dz6pzMJatME,📷 Yeaki Vlogging Kit for iPhone/Android | Best Beginner Vlogging Kit 📷,The Product Critiques,,573,263.0,high,paid_or_affiliate,comparison_or_best,amazon_link,,"Amazon Product Name : Yeaki Vlogging Kit for iPhone/Android Amazon Link : https://amzn.to/4lTV1hh (paid link), #ad ...",count_as_evidence
2026-W26,Yeaki,Yeaki vlogging kit tripod,4,LleizmTCfg8,https://www.youtube.com/watch?v=LleizmTCfg8,"Overview: Yeaki Vlogging Kit: AI Face Tracking, Light & Mic for Pro Videos",Amazon Shopping,,77,31.0,high,platform_auto_or_shopping,feature_overview,amazon_link,B0DWJH4BHS,Check out this product on Amazon: https://www.amazon.com/dp/B0DWJH4BHS?ref_=fs_yt_sl Explore more videos about this ...,count_as_evidence
2026-W26,Yeaki,Yeaki vlogging kit tripod,5,EygdIJGe-E8,https://www.youtube.com/watch?v=EygdIJGe-E8,Why The Yeaki Beats Every Other Phone Tripod,Toolsdoctor,,1949,284.0,high,amazon_affiliate,comparison_or_best,amazon_link,,"In this video, I'll review the Yeaki 71” Auto Face Tracking Tripod Check it out here: https://geni.us/yeaki71tripodvid (If you buy ...",count_as_evidence
2026-W26,Yeaki,B0DWJH4BHS Yeaki,1,CUjZA_Dz27I,https://www.youtube.com/watch?v=CUjZA_Dz27I,REVIEW (2026): Yeaki Vlogging Kit for iPhone/Android. Features,Product Overview World,,313,81.0,high,organic_or_unknown,review_demo,unknown,B0DWJH4BHS,Thinking about the Yeaki Vlogging Kit for iPhone/Android? This video covers its most important features. View on Amazon: ...,count_as_evidence
2026-W26,Yeaki,B0DWJH4BHS Yeaki,2,RVkjVbX5cMg,https://www.youtube.com/watch?v=RVkjVbX5cMg,Yeaki Vlogging Kit: The Ultimate iPhone/Android Content Creator Powerhouse!,Top 5 Wiki,,305,200.0,high,organic_or_unknown,product_demo,unknown,B0DWJH4BHS,Yeaki Vlogging Kit: The Ultimate iPhone/Android Content Creator Powerhouse! ▻ Latest Price & AMZN link here ...,count_as_evidence
2026-W26,Yeaki,B0DWJH4BHS Yeaki,3,LleizmTCfg8,https://www.youtube.com/watch?v=LleizmTCfg8,"Overview: Yeaki Vlogging Kit: AI Face Tracking, Light & Mic for Pro Videos",Amazon Shopping,,77,31.0,high,platform_auto_or_shopping,feature_overview,amazon_link,B0DWJH4BHS,Check out this product on Amazon: https://www.amazon.com/dp/B0DWJH4BHS?ref_=fs_yt_sl Explore more videos about this ...,count_as_evidence
2026-W26,Yeaki,B0DWJH4BHS Yeaki,4,b2HqbESSqW4,https://www.youtube.com/watch?v=b2HqbESSqW4,75 Useful Tech Gadgets Under $50 on Amazon in 2026,Budget Guru,,835,2309.0,low,organic_or_unknown,comparison_or_best,unknown,B0DWJH4BHS,75 Useful Tech Gadgets on Amazon Under $50 That Feel EXPENSIVE Looking for the best Tech Gadgets Under $50 in 2026 that ...,manual_verify_before_counting
2026-W26,Yeaki,B0FY61ZMVT Yeaki,1,Gx4GoRnkkIA,https://www.youtube.com/watch?v=Gx4GoRnkkIA,ハンズフリー撮影と自動顔追跡機能搭載😄📱 71インチスマート三脚レビュー,Honest reviews. Smarter choices. Real value.,,20,350.0,high,organic_or_unknown,product_demo,unknown,B0DHGPJ78K;B0FY61ZMVT,今すぐゲット！ https://www.amazon.com/dp/B0DHGPJ78K?tag=jeannetteputo-20 今すぐゲット！ https://www.amazon.com/dp/B0FY61ZMVT?tag ...,count_as_evidence
2026-W26,YUANRAN,YUANRAN vlogging kit auto face tracking tripod,1,ySh9uIsoONE,https://www.youtube.com/watch?v=ySh9uIsoONE,YUANRAN Content Creator Vlogging Kit With Face Tracking Tripod Review - Pros & Cons - content,MyCellphoneReviews,,58,258.0,high,organic_or_unknown,pros_cons_review,unknown,,Easy to use YUANRAN Content ...,count_as_evidence
2026-W26,YUANRAN,YUANRAN vlogging kit auto face tracking tripod,2,XLbF-WnD_wA,https://www.youtube.com/watch?v=XLbF-WnD_wA,NEMOVA 68'' Auto Face Tracking Tripod,Skinner's 100% Honest Reviews,,29762,317.0,adjacent,amazon_affiliate,product_demo,amazon_link,,CHECK OUT TODAY'S PRICE ON AMAZON: ▻▻▻ https://amzn.to/45vtqfE DISCLAIMER: Some of these links are affiliate links ...,manual_verify_before_counting
2026-W26,YUANRAN,YUANRAN vlogging kit auto face tracking tripod,3,bffm-xvbKxA,https://www.youtube.com/watch?v=bffm-xvbKxA,"71” Auto Face Tracking Tripod for iPhone with Light,360° Rotating Phone Stand",Yermak Review,,3812,251.0,adjacent,amazon_affiliate,product_demo,amazon_link,,"https://amzn.to/414o7lQ The phone stand with light comes with a rechargeable Bluetooth remote control, allowing you to easily ...",manual_verify_before_counting
2026-W26,YUANRAN,YUANRAN vlogging kit auto face tracking tripod,4,myPYfwE98ts,https://www.youtube.com/watch?v=myPYfwE98ts,"yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light, No App, 70.9"" Motion Sensor",Hoov45 😎,,16080,374.0,adjacent,amazon_affiliate,product_demo,amazon_link,,"https://urlgeni.us/amzn/hkhl_FaceTrackingTripod yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light, No App, ...",manual_verify_before_counting
2026-W26,YUANRAN,YUANRAN vlogging kit auto face tracking tripod,5,gs1YBElqrrs,https://www.youtube.com/watch?v=gs1YBElqrrs,"C17, #C17, 360° Smart Automatic Rotation Selfie Stick AI Auto Face Tracking Tripod ，#wholesale",Dianne,,36978,66.0,adjacent,organic_or_unknown,product_demo,unknown,,,manual_verify_before_counting
2026-W26,YUANRAN,B0FW4KL9RS YUANRAN,1,Azv_Dn_ETuw,https://www.youtube.com/watch?v=Azv_Dn_ETuw,YUANRAN Vlogging Kit: Your Ultimate TikTok & YouTube Powerhouse!,Honest Review,,7,176.0,high,organic_or_unknown,product_demo,unknown,B0FW4KL9RS,YUANRAN Vlogging Kit: Your Ultimate TikTok & YouTube Powerhouse! ▻ Latest Price & AMZN link here ...,count_as_evidence
2026-W26,DMYWB,DMYWB vlogging kit content creator essentials,1,qBm0xzMnnmE,https://www.youtube.com/watch?v=qBm0xzMnnmE,"71” Auto Face Tracking Tripod for iPhone with Light, Vlogging Kit with Microphones",Lauren's Daily Edit,,11,133.0,adjacent,organic_or_unknown,product_demo,unknown,,"Buy it here (affiliate link): https://amzlink.to/az0lNQGi6VgQr 71”Auto Face Tracking Tripod for iPhone with Light, Vlogging Kit with ...",manual_verify_before_counting
2026-W26,DMYWB,DMYWB vlogging kit content creator essentials,2,XLbF-WnD_wA,https://www.youtube.com/watch?v=XLbF-WnD_wA,NEMOVA 68'' Auto Face Tracking Tripod,Skinner's 100% Honest Reviews,,29762,317.0,adjacent,amazon_affiliate,product_demo,amazon_link,,CHECK OUT TODAY'S PRICE ON AMAZON: ▻▻▻ https://amzn.to/45vtqfE DISCLAIMER: Some of these links are affiliate links ...,manual_verify_before_counting
2026-W26,DMYWB,DMYWB vlogging kit content creator essentials,3,bffm-xvbKxA,https://www.youtube.com/watch?v=bffm-xvbKxA,"71” Auto Face Tracking Tripod for iPhone with Light,360° Rotating Phone Stand",Yermak Review,,3812,251.0,adjacent,amazon_affiliate,product_demo,amazon_link,,"https://amzn.to/414o7lQ The phone stand with light comes with a rechargeable Bluetooth remote control, allowing you to easily ...",manual_verify_before_counting
2026-W26,DMYWB,DMYWB vlogging kit content creator essentials,4,ImPS0ZSm14s,https://www.youtube.com/watch?v=ImPS0ZSm14s,yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light,Jenn,,4295,103.0,adjacent,amazon_affiliate,product_demo,amazon_link,,"Shop it here https://amzn.to/4doLtGH * as an Amazon affiliate, I earn commission on qualifying purchases. Thank you for your ...",manual_verify_before_counting
2026-W26,DMYWB,DMYWB vlogging kit content creator essentials,5,22rr6Xkr7fo,https://www.youtube.com/watch?v=22rr6Xkr7fo,Smartphone AI Tracking Tripod! - Aochuan M2 Pro Review,The D Show,,31066,801.0,low,organic_or_unknown,review_demo,unknown,,"BUY IT HERE! - https://www.banggood.com/custlink/3v38y38OEv Today I review the Aochuan M2 Pro, a selfie stick with many ...",manual_verify_before_counting
2026-W26,DMYWB,B0FJF7YXD9 DMYWB,1,_5WebBsVuWI,https://www.youtube.com/watch?v=_5WebBsVuWI,`DMYWB Vlogging Kit: The Ultimate Auto Face Tracking Creator Powerhouse!,Real Review Pro,,4,206.0,high,organic_or_unknown,product_demo,unknown,B0FJF7YXD9,DMYWB Vlogging Kit: The Ultimate Auto Face Tracking Creator Powerhouse! ▻ Latest Price & AMZN link here ...,count_as_evidence
2026-W26,DMYWB,B0FJF7YXD9 DMYWB,2,ZsuhYQ6vjuk,https://www.youtube.com/watch?v=ZsuhYQ6vjuk,"Vlogging Kit, No APP 63” Auto Face Tracking Tripod for iPhone with Light, Microphones",Rainforest Reviews,,14,64.0,high,organic_or_unknown,comparison_or_best,unknown,B0FJF7YXD9,I'm reviewing the online Rainforest! Get the best price here https://urlvue.com/r/jsh4kia3va-B0FJF7YXD9 Before you buy ...,count_as_evidence
